 TS, Iref, Isig, ATN, BC, RH, T, FR, Vbat
$2022-03-10 15:32:50,6222326,7002607,2.0883675,13.2986,1.21462,26.02808,150.7,7.08
$2022-03-10 15:32:52,6221802,7001590,2.0945883,11.4356,1.16884,26.05478,150.7,7.08
$2022-03-10 15:32:54,6221261,7000472,2.1019888,13.5879,1.18257,26.05478,150.7,7.08
$2022-03-10 15:32:56,6220772,6999400,2.1095772,13.9416,1.21767,26.08415,150.7,7.08
$2022-03-10 15:32:58,6220227,6998308,2.11656,12.8121,1.20089,26.08415,150.7,7.08
$2022-03-10 15:33:00,6219701,6997221,2.1237783,13.269,1.16884,26.09751,150.7,7.08
$2022-03-10 15:33:02,6219184,6996156,2.1307945,12.8337,1.18257,26.08415,150.7,7.08
$2022-03-10 15:33:04,6218653,6995026,2.1385345,14.0922,1.20089,26.09751,150.7,7.08
$2022-03-10 15:33:06,6218125,6993940,2.1457043,13.1756,1.17189,26.11353,150.7,7.08
$2022-03-10 15:33:08,6217614,6992873,2.152833,12.5287,1.21767,26.09751,150.7,7.08
$2022-03-10 15:33:10,6217050,6991772,2.1596327,12.4629,1.18563,26.12955,150.7,7.08
$2022-03-10 15:33:12,6216536,6990704,2.1667805,13.0969,1.17189,26.11353,150.7,7.08
$2022-03-10 15:33:14,6216005,6989596,2.1742086,13.6505,1.20089,26.1429,150.7,7.09
$2022-03-10 15:33:16,6215469,6988464,2.1819115,14.1646,1.20089,26.1429,150.7,7.08
$2022-03-10 15:33:18,6214974,6987317,2.1904974,15.768,1.12154,26.1429,150.7,7.08
$2022-03-10 15:33:20,6214424,6986093,2.1992979,16.1824,1.13985,26.17227,150.7,7.08
$2022-03-10 15:33:22,6213893,6984893,2.2080431,16.0856,1.20394,26.17227,150.7,7.08
$2022-03-10 15:33:24,6213358,6983850,2.2144976,11.75,1.15511,26.18562,150.7,7.09
$2022-03-10 15:33:26,6212852,6982814,2.2213135,12.5059,1.17189,26.18562,151,7.08
$2022-03-10 15:33:28,6212324,6981831,2.2269983,10.4061,1.15816,26.21233,150.7,7.08
$2022-03-10 15:33:30,6211817,6980870,2.2327414,10.5655,1.13985,26.21233,150.7,7.08
$2022-03-10 15:33:32,6211298,6979854,2.2390547,11.5951,1.18715,26.19898,150.7,7.08
$2022-03-10 15:33:34,6210791,6978837,2.245594,11.9931,1.20546,26.2417,151,7.08
$2022-03-10 15:33:36,6210279,6977843,2.2517319,11.2544,1.15816,26.22835,151,7.08
$2022-03-10 15:33:38,6209757,6976861,2.2575073,10.6069,1.12306,26.2417,151,7.08
$2022-03-10 15:33:40,6209254,6975842,2.2641535,12.1838,1.20546,26.2417,151,7.08
$2022-03-10 15:33:42,6208707,6974791,2.2705307,11.7064,1.15816,26.25505,151,7.08
$2022-03-10 15:33:44,6208211,6973802,2.2768412,11.6285,1.14137,26.26841,150.3,7.08
$2022-03-10 15:33:48,6207068,6971486,2.2917414,12.0153,1.20546,26.26841,150.7,7.08
$2022-03-10 15:33:50,6206556,6970428,2.2987995,12.9843,1.14137,26.29778,150.7,7.09
$2022-03-10 15:33:52,6206070,6969400,2.30585,12.8616,1.15969,26.29778,150.7,7.08
$2022-03-10 15:33:54,6205551,6968293,2.3134623,13.9959,1.15969,26.31114,150.7,7.08
$2022-03-10 15:33:56,6205063,6967297,2.3200445,12.0631,1.22377,26.32449,150.7,7.08
$2022-03-10 15:33:58,6204560,6966336,2.3258429,10.5789,1.17647,26.32449,150.7,7.08
$2022-03-10 15:34:00,6204047,6965300,2.332551,12.3351,1.15969,26.34051,150.7,7.08
$2022-03-10 15:34:02,6203566,6964272,2.3396864,13.1674,1.15969,26.34051,150.3,7.08
$2022-03-10 15:34:04,6203090,6963281,2.3463612,12.2566,1.14443,26.34051,151,7.08
$2022-03-10 15:34:06,6202580,6962278,2.3526592,11.5826,1.0956,26.35386,150.7,7.08
$2022-03-10 15:34:08,6202098,6961303,2.3589973,11.6541,1.17647,26.34051,150.7,7.08
$2022-03-10 15:34:10,6201609,6960249,2.3663788,13.512,1.09865,26.36721,150.7,7.08
$2022-03-10 15:34:12,6201105,6959090,2.3750153,15.7684,1.11238,26.36721,150.7,7.08
$2022-03-10 15:34:14,6200606,6958059,2.3819275,12.6882,1.11238,26.39658,151,7.08
